month,day,year,Station,Site,Bay,subsample,Time,Temp.C,Salinity,YSI_DO,lat.deg,lat.min,long.deg,long.min,lat,long,LONGITUDE,use.for.CPUE,notes,Cobble,Gravel,Fucus,Laminaria,Eelgrass,LT.time
7,5,2018,1,Ugak-1,Ugak,no,10:48,12,21,.,57,28.1781,153,0.1169,57.469635,153.0019483,-153.0019483,yes,"sand,fucus,bare",n,n,y,n,n,.
7,5,2018,2,Ugak-2,Ugak,no,11:53,11.9,21,.,57,27.6137,152,58.0401,57.46022833,152.967335,-152.967335,yes,bare,n,y,y,n,n,.
7,5,2018,3,Ugak-3,Ugak,no,12:55,13.2,26,.,57,27.5821,152,58.5382,57.45970167,152.9756367,-152.9756367,yes,fucus,n,y,y,n,n,.
7,5,2018,4,Ugak-4,Ugak,no,13:38,8.3,24,.,57,27.0941,152,59.9883,57.45156833,152.999805,-152.999805,yes,bare,n,n,n,n,n,.
7,5,2018,5,Ugak-5,Ugak,no,14:51,12.5,29,.,57,26.2503,153,2.4,57.437505,153.04,-153.04,yes,eelgrass,n,y,n,n,y,.
7,5,2018,6,Ugak-6,Ugak,no,16:01,11.9,31,.,57,26.7823,153,1.2925,57.44637167,153.0215417,-153.0215417,yes,eelgrass,n,n,n,n,y,.
7,7,2018,7,Kilu-1,Kiliuda,no,12:33,14.3,30,.,57,19.3015,152,54.0817,57.32169167,152.9013617,-152.9013617,yes,"eelgrass, fucus, mussels",n,y,y,n,y,.
7,7,2018,8,Kilu-2,Kiliuda,no,13:14,16.2,30,.,57,19.412,152,53.9498,57.32353333,152.8991633,-152.8991633,yes,"eelgrass, fucus, mussels",y,y,y,n,y,.
7,7,2018,9,Kilu-3,Kiliuda,no,14:24,15.9,31,.,57,19.5102,152,54.3495,57.32517,152.905825,-152.905825,yes,"eelgrass, fucus, mussels, very shallow",n,y,y,n,y,.
7,7,2018,10,Kilu-4,Kiliuda,no,15:13,16.9,30,.,57,19.6522,152,53.8421,57.32753667,152.8973683,-152.8973683,yes,eelgrass and rocks,y,n,n,n,y,.
7,7,2018,11,Kilu-5,Kiliuda,no,16:20,15,30,.,57,19.3579,152,54.6088,57.32263167,152.9101467,-152.9101467,yes,"clean eelgrass, steep beach gravel",n,y,n,n,y,.
7,7,2018,12,Kilu-6,Kiliuda,no,17:20,15,30,.,57,19.3427,152,54.8005,57.32237833,152.9133417,-152.9133417,yes,"eelgrass and gravel, more gradual slope",n,y,y,n,y,.
7,7,2018,13,Kilu-7,Kiliuda,no,18:15,15.7,32,.,57,19.3719,152,54.3183,57.322865,152.905305,-152.905305,yes,"eelgrass, fucus, mussels, very shallow",n,y,y,y,y,.
7,9,2018,14,Kai-1,Kaiugnak,no,14:19,10.5,30,.,57,3.6342,153,42.5162,57.06057,153.7086033,-153.7086033,yes,bare. Eelgrass farther offshore,n,n,n,n,y,.
7,9,2018,15,Kai-2,Kaiugnak,no,14:50,10.7,28,.,57,3.4213,153,42.2802,57.05702167,153.70467,-153.70467,yes,bare cobble and gravel. Some eelgrass but too far offshore to sample. Right in front of cabins,y,y,n,n,y,.
7,9,2018,16,Kai-3,Kaiugnak,no,16:30,10.5,29,.,57,3.2078,153,39.1837,57.05346333,153.6530617,-153.6530617,yes,"gravel, mostly bare, some laminaria",n,y,n,y,n,.
7,9,2018,17,Kai-4,Kaiugnak,no,17:26,10.4,25,.,57,4.2481,153,40.4923,57.07080167,153.6748717,-153.6748717,yes,"granite cobble and sand, some fucus but little vegetation.",y,y,y,n,n,.
7,9,2018,18,Kai-5,Kaiugnak,no,18:22,9.1,12,.,57,4.3998,153,40.2484,57.07333,153.6708067,-153.6708067,yes,bare. Gravel and sand. Very shallow river sill. Mike rowed net,n,y,n,n,n,.
7,9,2018,19,Kai-6,Kaiugnak,no,19:08,10.4,31,.,57,3.3548,153,39.0058,57.05591333,153.6500967,-153.6500967,yes,"gravel, eelgrass, laminaria. Just down beach from Kaiugnak3 near point",n,y,n,y,y,.
7,11,2018,20,Jap-1,Japanese,no,7:02,10.6,25,.,56,57.1887,153,41.085,56.953145,153.68475,-153.68475,yes,eelgrass,n,n,n,n,y,.
7,11,2018,21,Jap-2,Japanese,yes,8:36,11,24,.,56,56.8911,153,40.9376,56.948185,153.6822933,-153.6822933,yes,"laminaria, eelgrass, mussels, cobble",y,n,n,y,y,.
7,11,2018,22,Jap-3,Japanese,no,9:06,10.4,26,.,56,57.0655,153,41.0891,56.95109167,153.6848183,-153.6848183,yes,"laminaria, gravel, cobble, exposed",y,y,y,y,n,.
7,11,2018,23,Jap-4,Japanese,no,10:09,11.3,25,.,56,57.5528,153,41.3679,56.95921333,153.689465,-153.689465,yes,"bare, gravel. On point near 3 spruce trees",n,y,n,y,n,.
7,11,2018,24,Jap-5,Japanese,no,17:00,12.6,15,.,56,58.0863,153,40.9181,56.968105,153.6819683,-153.6819683,yes,"cobble, fucus, eelgrass",y,y,y,y,y,.
7,11,2018,25,Jap-6,Japanese,no,18:20,12.7,26,.,56,57.1864,153,40.7411,56.95310667,153.6790183,-153.6790183,yes,"cobble, fucus, eelgrass",y,y,y,y,y,.
7,14,2018,26,RR-1,Rodman Reach,no,7:10,10.5,32,.,56,52.9361,154,15.2704,56.88226833,154.2545067,-154.2545067,yes,"gravel, eelgrass, laminaria ",n,y,n,y,y,.
7,14,2018,27,RR-2,Rodman Reach,no,8:06,10.8,28,.,56,54.0443,154,15.1536,56.90073833,154.25256,-154.25256,yes,"mud, mussels, laminaria",n,y,n,y,n,.
7,14,2018,28,RR-3,Rodman Reach,no,9:43,10.6,29,.,56,52.7259,154,14.7404,56.878765,154.2456733,-154.2456733,yes,eelgrass,n,y,n,n,y,.
