year,Date,bay,site,Time,Temperature,Salinity,Oxygen,Habitat,total.gadid.cpue,saffron.age.0,cod.age.0,pollock.age.0,cod.age.1,cod.age.2,saffron.age.1,saffron.age.2,pollock.age.1
2025,7/11/2025,Anton Larsen,Back Bay eelgrass,1252,10.8,24.2,10.2,Eelgrass,0,0,0,0,0,0,0,0,0
2025,7/14/2025,Anton Larsen,Back Bay eelgrass,1406,14.2,26.8,13.2,Eelgrass,0,0,0,0,0,0,0,0,0
2025,8/21/2025,Anton Larsen,Back Bay eelgrass,1150,12.6,32.6,10.2,Eelgrass,1,0,1,0,0,0,0,0,0
2025,8/25/2025,Anton Larsen,Back Bay eelgrass,1235,13.6,32.7,10.2,Eelgrass,0,0,0,0,0,0,0,0,0
2025,7/11/2025,Anton Larsen,Cobble point,1502,10.6,11.3,10.8,Bare,0,0,0,0,1,0,0,0,0
2025,7/14/2025,Anton Larsen,Cobble point,1528,11.1,29.2,12.5,Bare,2,0,2,0,2,0,0,0,0
2025,8/21/2025,Anton Larsen,Cobble point,1353,13.1,31.5,10.9,Bare,0,0,0,0,0,0,0,0,0
2025,8/25/2025,Anton Larsen,Cobble point,1411,14.1,31.6,9.9,Bare,0,0,0,0,0,0,0,0,0
2025,7/11/2025,Anton Larsen,Eelgrass patches,801,10.2,9.5,11.6,Eelgrass,54,0,53,1,8,0,1,0,7
2025,7/14/2025,Anton Larsen,Eelgrass patches,1028,11.1,25.9,11.8,Eelgrass,15,0,15,0,3,0,0,0,8
2025,8/21/2025,Anton Larsen,Eelgrass patches,745,12.6,30.8,11,Eelgrass,10,0,10,0,0,0,0,0,0
2025,8/25/2025,Anton Larsen,Eelgrass patches,822,12.9,32.4,11.7,Eelgrass,3,0,3,0,0,0,0,0,2
2025,7/11/2025,Anton Larsen,Eelgrass point,911,11.2,26.7,10.2,Eelgrass,53,0,53,0,1,0,0,0,79
2025,7/14/2025,Anton Larsen,Eelgrass point,1111,10.4,30,10.6,Eelgrass,27,0,27,0,0,0,0,0,2
2025,8/21/2025,Anton Larsen,Eelgrass point,839,12.9,31.6,9.9,Eelgrass,32,0,32,0,0,0,0,0,0
2025,8/25/2025,Anton Larsen,Eelgrass point,905,12.7,32,10.3,Eelgrass,37,0,37,0,0,0,0,0,0
2025,7/11/2025,Anton Larsen,Laminaria #2,1027,12.3,24.8,8.3,Laminaria,1,0,1,0,0,0,0,0,0
2025,7/14/2025,Anton Larsen,Laminaria #2,1218,11.5,28.1,11.1,Laminaria,0,0,0,0,0,0,0,0,0
2025,8/22/2025,Anton Larsen,Laminaria #2,923,12.5,32.5,10.1,Laminaria,3,0,3,0,0,0,0,0,0
2025,8/25/2025,Anton Larsen,Laminaria #2,1021,13.6,32.9,10,Laminaria,0,0,0,0,0,0,0,0,0
2025,7/11/2025,Anton Larsen,Laminaria Point,846,10.7,11.7,10.6,Laminaria,8,0,8,0,0,0,0,0,5
2025,7/14/2025,Anton Larsen,Laminaria Point,1051,10.5,28.5,10.7,Laminaria,27,0,27,0,1,0,0,0,5
