"","year","julian","site","bay","species","length","cod.cpue","pollock.cpue","temperature"
"1",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",41,18,0,12.3
"2",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",45,18,0,12.3
"3",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",48,18,0,12.3
"4",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",49,18,0,12.3
"5",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",51,18,0,12.3
"6",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",52,18,0,12.3
"7",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",53,18,0,12.3
"8",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",53,18,0,12.3
"9",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",54,18,0,12.3
"10",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",54,18,0,12.3
"11",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",55,18,0,12.3
"12",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",58,18,0,12.3
"13",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",59,18,0,12.3
"14",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",60,18,0,12.3
"15",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",60,18,0,12.3
"16",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",63,18,0,12.3
"17",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",64,18,0,12.3
"18",2006,196,"Back Bay eelgrass","Anton Larson Bay","pcod",64,18,0,12.3
"19",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",32,30,5,14.8
"20",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",36,30,5,14.8
"21",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",38,30,5,14.8
"22",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",38,30,5,14.8
"23",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",38,30,5,14.8
"24",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",41,30,5,14.8
"25",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",43,30,5,14.8
"26",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",44,30,5,14.8
"27",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",44,30,5,14.8
"28",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",44,30,5,14.8
"29",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",46,30,5,14.8
"30",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",46,30,5,14.8
"31",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",47,30,5,14.8
"32",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",48,30,5,14.8
"33",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",48,30,5,14.8
"34",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",48,30,5,14.8
"35",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",48,30,5,14.8
"36",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",48,30,5,14.8
"37",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",48,30,5,14.8
"38",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",49,30,5,14.8
"39",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",51,30,5,14.8
"40",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",53,30,5,14.8
"41",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",53,30,5,14.8
"42",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",53,30,5,14.8
"43",2006,196,"Eelgrass patches","Anton Larson Bay","pcod",53,30,5,14.8
