Spec_num,bay,site #,date,month,Era_year,net,age,TL,SL,fresh_body_wgt_wet,sex,liver_wet_wgt,stom_wet_wgt,stom_full_code,stom_fullness,evis_body_wet_wgt,liver_dry_wgt,evis_body_dry_wgt,Kwet,Kdry,HSI_wet,HSI_dry,Loto_Wgt2,Roto_Wgt2,Loto_Wgt7,Loto_Len,Loto_hgt,Roto_Wgt7,Roto_Len,Roto_hgt
COD-0104,Cook Bay,Laminira East,8/28/2013,August,A,beach seine,1,199,185,90.02,M,0.99,4.2419,6,4.71,78.34,0.3248,16.06,0.99,2.04,1.26,2.02,0.0644,0.0643,0.0646,NA,4.17,0.0645,9.03,4.24
COD-0105,Cook Bay,Laminira South,8/28/2013,August,A,beach seine,1,188,176,65.35,F,0.8801,2.1184,4,3.24,56.61,0.1835,11.79,0.85,1.77,1.55,1.56,0.0684,0.0677,0.0685,8.83,4.22,0.068,9.55,4.14
COD-0106,Cook Bay,Laminira South,8/28/2013,August,A,beach seine,1,204,190,94.67,F,1.3009,7.6832,6,8.12,78.48,0.4534,15.9,0.92,1.87,1.66,2.85,0.0603,0.0612,0.0605,9.28,4.14,0.0613,9.11,4.16
COD-0107,Cook Bay,Laminira South,8/28/2013,August,A,beach seine,1,231,215,143.88,F,1.8299,6.1721,6,4.29,124.57,0.3991,25.44,1.01,2.06,1.47,1.57,0.0817,0.082,0.0818,9.99,4.8,0.0822,10.25,4.72
COD-0108,Cook Bay,Laminira East,7/26/2013,July,A,beach seine,1,193,182,79.74,F,1.9072,1.6601,3,2.08,71.12,0.6771,13.96,0.99,1.94,2.68,4.85,0.0538,0.0551,0.0541,NA,3.85,0.0549,8.61,3.87
COD-0109,Cook Bay,Laminira East,7/26/2013,July,A,beach seine,1,218,200,130.65,M,1.892,5.8654,5,4.49,107.16,0.6024,21.5,1.03,2.08,1.77,2.8,0.0659,0.0672,0.0657,8.95,4.47,0.0671,9.15,4.38
COD-0110,Cook Bay,Laminira East,7/26/2013,July,A,beach seine,1,197,186,82.28,M,2.5028,2.9438,3,3.58,70.03,0.9786,14.11,0.92,1.85,3.57,6.94,0.0712,0.0712,0.0712,9.12,4.31,0.0711,9.53,4.19
COD-0111,Cook Bay,Laminira East,7/26/2013,July,A,beach seine,1,197,185,80.76,F,1.6981,1.4698,2,1.82,66.55,0.4271,13.01,0.87,1.7,2.55,3.28,0.0525,0.0526,0.0525,8.6,3.87,0.0533,8.54,3.95
COD-0112,Cook Bay,Eel Grass South,7/26/2013,July,A,beach seine,1,183,175,65.12,F,1.7194,1.3756,1,2.11,57.65,0.7455,11.58,0.94,1.89,2.98,6.44,0.0496,0.0502,0.0493,8.23,3.8,0.0499,8.64,3.8
COD-0113,Cook Bay,Eel Grass South,7/26/2013,July,A,beach seine,1,183,170,57.01,F,0.4171,2.6008,5,4.56,49.03,0.0735,9.37,0.8,1.53,0.85,0.78,0.0529,0.0531,0.0531,8.27,3.84,0.0534,NA,3.92
COD-0114,Cook Bay,Eel Grass South,8/28/2013,August,A,beach seine,1,210,197,101.67,F,1.3952,7.8646,6,7.74,84.22,0.4053,17.6,0.91,1.9,1.66,2.3,0.0691,0.0711,0.0688,9.27,4.35,0.0711,8.99,4.47
COD-0115,Cook Bay,Eel Grass South,8/30/2013,August,A,beach seine,1,243,226,148.62,F,3.6813,6.3461,4,4.27,126.67,2.2333,28.91,0.88,2.01,2.91,7.73,0.078,0.0534,0.0782,NA,4.83,0.0542,NA,4.88
COD-0116,Cook Bay,Eel Grass West,8/30/2013,August,A,beach seine,1,205,191,92.01,M,1.4893,1.9623,3,2.13,82.86,0.4936,17.56,0.96,2.04,1.8,2.81,0.0683,0.0654,0.0684,9.36,4.43,0.0654,NA,4.31
COD-0117,Cook Bay,Eel Grass West,8/28/2013,August,A,beach seine,1,241,230,169.88,M,3.8949,5.667,4,3.34,149.8,1.7475,32.97,1.07,2.36,2.6,5.3,0.0902,0.0907,0.0904,10.15,5.03,0.0908,9.97,5.09
COD-0118,Cook Bay,Eel Grass West,8/28/2013,August,A,beach seine,1,208,192,102.83,F,2.1412,2.4965,1,2.43,91.09,0.8829,19.91,1.01,2.21,2.35,4.43,0.066,0.0662,0.0659,NA,4.07,0.0663,9.4,4.25
