month,day,year,date,Station,Site,Bay,species,CPUE,
7,4,2022,7/4/2022,381,AG-1,Agripina,crescent gunnel,1,
7,4,2022,7/4/2022,381,AG-1,Agripina,great sculpin,7,
7,4,2022,7/4/2022,381,AG-1,Agripina,kelp greenling,7,
7,4,2022,7/4/2022,381,AG-1,Agripina,masked greenling,4,
7,4,2022,7/4/2022,381,AG-1,Agripina,Pacific cod,57,
7,4,2022,7/4/2022,381,AG-1,Agripina,Pacific sandlance,69,
7,4,2022,7/4/2022,381,AG-1,Agripina,pink salmon,8,
7,4,2022,7/4/2022,381,AG-1,Agripina,rock greenling,5,
7,4,2022,7/4/2022,381,AG-1,Agripina,silver salmon,88,
7,4,2022,7/4/2022,381,AG-1,Agripina,silverspotted sculpin,7,
7,4,2022,7/4/2022,381,AG-1,Agripina,walleye pollock,1,
7,4,2022,7/4/2022,381,AG-1,Agripina,whitespotted greenling,12,
7,4,2022,7/4/2022,381,AG-1,Agripina,yellow irish lord,2,
7,4,2022,7/4/2022,382,AG-2,Agripina,kelp greenling,20,
7,4,2022,7/4/2022,382,AG-2,Agripina,masked greenling,6,
7,4,2022,7/4/2022,382,AG-2,Agripina,Pacific cod,215,
7,4,2022,7/4/2022,382,AG-2,Agripina,Pacific sandlance,7,
7,4,2022,7/4/2022,382,AG-2,Agripina,pink salmon,7,
7,4,2022,7/4/2022,382,AG-2,Agripina,rock greenling,13,
7,4,2022,7/4/2022,382,AG-2,Agripina,silver salmon,33,
7,4,2022,7/4/2022,382,AG-2,Agripina,walleye pollock,1060,
7,4,2022,7/4/2022,382,AG-2,Agripina,whitespotted greenling,1,
7,4,2022,7/4/2022,383,AG-4,Agripina,chum salmon,15,
7,4,2022,7/4/2022,383,AG-4,Agripina,copper rockfish,1,
7,4,2022,7/4/2022,383,AG-4,Agripina,great sculpin,1,
7,4,2022,7/4/2022,383,AG-4,Agripina,kelp greenling,2,
7,4,2022,7/4/2022,383,AG-4,Agripina,Pacific cod,56,
7,4,2022,7/4/2022,383,AG-4,Agripina,Pacific sandlance,108,
7,4,2022,7/4/2022,383,AG-4,Agripina,pink salmon,98,
7,4,2022,7/4/2022,383,AG-4,Agripina,silver salmon,17,
7,4,2022,7/4/2022,383,AG-4,Agripina,whitespotted greenling,4,
7,4,2022,7/4/2022,384,AG-3,Agripina,chum salmon,2,
7,4,2022,7/4/2022,384,AG-3,Agripina,great sculpin,1,
7,4,2022,7/4/2022,384,AG-3,Agripina,kelp greenling,5,
7,4,2022,7/4/2022,384,AG-3,Agripina,Pacific sandlance,111,
7,4,2022,7/4/2022,384,AG-3,Agripina,pink salmon,1,
7,4,2022,7/4/2022,384,AG-3,Agripina,walleye pollock,1,
7,4,2022,7/4/2022,384,AG-3,Agripina,whitespotted greenling,1,
7,4,2022,7/4/2022,385,AG-5,Agripina,chum salmon,13,
7,4,2022,7/4/2022,385,AG-5,Agripina,copper rockfish,1,
7,4,2022,7/4/2022,385,AG-5,Agripina,great sculpin,1,
7,4,2022,7/4/2022,385,AG-5,Agripina,kelp greenling,7,
7,4,2022,7/4/2022,385,AG-5,Agripina,masked greenling,8,
7,4,2022,7/4/2022,385,AG-5,Agripina,Pacific cod,144,
7,4,2022,7/4/2022,385,AG-5,Agripina,Pacific sandfish,1,
7,4,2022,7/4/2022,385,AG-5,Agripina,Pacific sandlance,2,
7,4,2022,7/4/2022,385,AG-5,Agripina,pink salmon,50,
7,4,2022,7/4/2022,385,AG-5,Agripina,rock greenling,10,
7,4,2022,7/4/2022,385,AG-5,Agripina,silverspotted sculpin,1,
7,4,2022,7/4/2022,385,AG-5,Agripina,whitespotted greenling,2,
7,4,2022,7/4/2022,385,AG-5,Agripina,yellow irish lord,1,
7,4,2022,7/4/2022,386,AG-6,Agripina,chum salmon,4,
7,4,2022,7/4/2022,386,AG-6,Agripina,great sculpin,1,
7,4,2022,7/4/2022,386,AG-6,Agripina,kelp greenling,2,
7,4,2022,7/4/2022,386,AG-6,Agripina,masked greenling,3,
7,4,2022,7/4/2022,386,AG-6,Agripina,Pacific cod,5,
7,4,2022,7/4/2022,386,AG-6,Agripina,pink salmon,2,
7,4,2022,7/4/2022,386,AG-6,Agripina,rock greenling,9,
7,4,2022,7/4/2022,386,AG-6,Agripina,silver salmon,29,
7,4,2022,7/4/2022,386,AG-6,Agripina,silverspotted sculpin,1,
7,4,2022,7/4/2022,386,AG-6,Agripina,three spined stickleback,1,
7,4,2022,7/4/2022,386,AG-6,Agripina,whitespotted greenling,31,
7,12,2022,7/12/2022,402,BB-2,Balboa,Artedius lateralis,2,
7,12,2022,7/12/2022,402,BB-2,Balboa,crescent gunnel,22,
