month,day,year,date,Station,Site,Bay,species,CPUE
7,22,2026,7/22/2026,710,AG-1,Agripina,chum salmon,3
7,22,2026,7/22/2026,712,AG-5,Agripina,chum salmon,5
7,22,2026,7/22/2026,715,AG-6,Agripina,coho salmon,50
7,22,2026,7/22/2026,714,AG-4,Agripina,copper rockfish,1
7,22,2026,7/22/2026,715,AG-6,Agripina,crescent gunnel,1
7,22,2026,7/22/2026,711,AG-2,Agripina,dolly varden,1
7,22,2026,7/22/2026,710,AG-1,Agripina,great sculpin,2
7,22,2026,7/22/2026,711,AG-2,Agripina,great sculpin,1
7,22,2026,7/22/2026,713,AG-3,Agripina,great sculpin,1
7,22,2026,7/22/2026,715,AG-6,Agripina,great sculpin,3
7,22,2026,7/22/2026,710,AG-1,Agripina,kelp clingfish,1
7,22,2026,7/22/2026,714,AG-4,Agripina,kelp greenling,1
7,22,2026,7/22/2026,711,AG-2,Agripina,lingcod,1
7,22,2026,7/22/2026,712,AG-5,Agripina,masked greenling,1
7,22,2026,7/22/2026,710,AG-1,Agripina,Pacific cod,199
7,22,2026,7/22/2026,711,AG-2,Agripina,Pacific cod,255
7,22,2026,7/22/2026,713,AG-3,Agripina,Pacific cod,629
7,22,2026,7/22/2026,714,AG-4,Agripina,Pacific cod,743
7,22,2026,7/22/2026,712,AG-5,Agripina,Pacific cod,1011
7,22,2026,7/22/2026,715,AG-6,Agripina,Pacific cod,140
7,22,2026,7/22/2026,712,AG-5,Agripina,Pacific sandfish,1
7,22,2026,7/22/2026,710,AG-1,Agripina,pink salmon,1
7,22,2026,7/22/2026,712,AG-5,Agripina,pink salmon,40
7,22,2026,7/22/2026,715,AG-6,Agripina,pink salmon,5
7,22,2026,7/22/2026,714,AG-4,Agripina,rock greenling,1
7,22,2026,7/22/2026,712,AG-5,Agripina,rock greenling,1
7,22,2026,7/22/2026,715,AG-6,Agripina,rock greenling,3
7,22,2026,7/22/2026,713,AG-3,Agripina,saffron cod,6
7,22,2026,7/22/2026,710,AG-1,Agripina,silverspotted sculpin,1
7,22,2026,7/22/2026,714,AG-4,Agripina,silverspotted sculpin,2
7,22,2026,7/22/2026,715,AG-6,Agripina,three spine stickleback,1
7,22,2026,7/22/2026,711,AG-2,Agripina,walleye pollock,121
7,22,2026,7/22/2026,713,AG-3,Agripina,walleye pollock,19
7,22,2026,7/22/2026,712,AG-5,Agripina,walleye pollock,11
7,22,2026,7/22/2026,710,AG-1,Agripina,whitespotted greenling,3
7,22,2026,7/22/2026,711,AG-2,Agripina,whitespotted greenling,1
7,22,2026,7/22/2026,714,AG-4,Agripina,whitespotted greenling,2
7,22,2026,7/22/2026,715,AG-6,Agripina,whitespotted greenling,7
7,9,2026,7/9/2026,679,BB-2,Balboa,chinook salmon,1
7,9,2026,7/9/2026,679,BB-2,Balboa,chum salmon,16
7,9,2026,7/9/2026,678,BB-3,Balboa,chum salmon,7
7,9,2026,7/9/2026,680,BB-4,Balboa,chum salmon,21
7,9,2026,7/9/2026,681,BB-7,Balboa,chum salmon,21
7,9,2026,7/9/2026,680,BB-4,Balboa,crescent gunnel,3
7,9,2026,7/9/2026,681,BB-7,Balboa,crescent gunnel,1
7,9,2026,7/9/2026,679,BB-2,Balboa,dolly varden,1
7,9,2026,7/9/2026,678,BB-3,Balboa,dolly varden,2
7,9,2026,7/9/2026,679,BB-2,Balboa,great sculpin,3
7,9,2026,7/9/2026,681,BB-7,Balboa,great sculpin,1
7,9,2026,7/9/2026,681,BB-7,Balboa,masked greenling,2
7,9,2026,7/9/2026,679,BB-2,Balboa,Pacific cod,112
7,9,2026,7/9/2026,678,BB-3,Balboa,Pacific cod,791
7,9,2026,7/9/2026,680,BB-4,Balboa,Pacific cod,69
7,9,2026,7/9/2026,681,BB-7,Balboa,Pacific cod,27
7,9,2026,7/9/2026,679,BB-2,Balboa,Pacific sandlance,287
7,9,2026,7/9/2026,678,BB-3,Balboa,Pacific sandlance,135
7,9,2026,7/9/2026,680,BB-4,Balboa,Pacific sandlance,23
7,9,2026,7/9/2026,679,BB-2,Balboa,pink salmon,1
7,9,2026,7/9/2026,678,BB-3,Balboa,pink salmon,3
7,9,2026,7/9/2026,680,BB-4,Balboa,pink salmon,1
7,9,2026,7/9/2026,681,BB-7,Balboa,pink salmon,2
7,9,2026,7/9/2026,679,BB-2,Balboa,rock greenling,2
7,9,2026,7/9/2026,678,BB-3,Balboa,rock greenling,1
7,9,2026,7/9/2026,680,BB-4,Balboa,rock greenling,1
7,9,2026,7/9/2026,681,BB-7,Balboa,rock greenling,5
7,9,2026,7/9/2026,678,BB-3,Balboa,saffron cod,5
7,9,2026,7/9/2026,680,BB-4,Balboa,saffron cod,13
7,9,2026,7/9/2026,681,BB-7,Balboa,saffron cod,3
7,9,2026,7/9/2026,678,BB-3,Balboa,silverspotted sculpin,1
7,9,2026,7/9/2026,681,BB-7,Balboa,silverspotted sculpin,4
7,9,2026,7/9/2026,678,BB-3,Balboa,three spine stickleback,1
7,9,2026,7/9/2026,679,BB-2,Balboa,walleye pollock,91
7,9,2026,7/9/2026,678,BB-3,Balboa,walleye pollock,392
7,9,2026,7/9/2026,680,BB-4,Balboa,walleye pollock,274
7,9,2026,7/9/2026,681,BB-7,Balboa,walleye pollock,17
7,9,2026,7/9/2026,679,BB-2,Balboa,warthead sculpin,1
7,9,2026,7/9/2026,679,BB-2,Balboa,whitespotted greenling,8
7,9,2026,7/9/2026,681,BB-7,Balboa,whitespotted greenling,2
7,9,2026,7/9/2026,679,BB-2,Balboa,yellow Irish lord,1
7,12,2026,7/12/2026,690,Bar-2,Baralof,Alaska plaice,1
7,12,2026,7/12/2026,689,Bar-3,Baralof,chinook salmon,5
7,12,2026,7/12/2026,688,Bar-4,Baralof,chinook salmon,20
7,12,2026,7/12/2026,691,Bar-1,Baralof,chum salmon,77
7,12,2026,7/12/2026,690,Bar-2,Baralof,chum salmon,3
7,12,2026,7/12/2026,689,Bar-3,Baralof,chum salmon,69
7,12,2026,7/12/2026,690,Bar-2,Baralof,crescent gunnel,1
7,12,2026,7/12/2026,689,Bar-3,Baralof,crescent gunnel,1
7,12,2026,7/12/2026,688,Bar-4,Baralof,crescent gunnel,4
7,12,2026,7/12/2026,687,Bar-5,Baralof,crescent gunnel,1
7,12,2026,7/12/2026,691,Bar-1,Baralof,dolly varden,3
7,12,2026,7/12/2026,689,Bar-3,Baralof,dolly varden,147
7,12,2026,7/12/2026,688,Bar-4,Baralof,dolly varden,67
7,12,2026,7/12/2026,690,Bar-2,Baralof,English sole,28
7,12,2026,7/12/2026,690,Bar-2,Baralof,four horned poacher,1
7,12,2026,7/12/2026,691,Bar-1,Baralof,great sculpin,38
7,12,2026,7/12/2026,690,Bar-2,Baralof,great sculpin,6
7,12,2026,7/12/2026,690,Bar-2,Baralof,masked greenling,15
7,12,2026,7/12/2026,688,Bar-4,Baralof,masked greenling,7
7,12,2026,7/12/2026,691,Bar-1,Baralof,northern rock sole,10
7,12,2026,7/12/2026,690,Bar-2,Baralof,northern rock sole,23
7,12,2026,7/12/2026,689,Bar-3,Baralof,northern rock sole,1
7,12,2026,7/12/2026,691,Bar-1,Baralof,Pacific cod,3
7,12,2026,7/12/2026,690,Bar-2,Baralof,Pacific cod,1
7,12,2026,7/12/2026,689,Bar-3,Baralof,Pacific cod,17
7,12,2026,7/12/2026,688,Bar-4,Baralof,Pacific cod,18
7,12,2026,7/12/2026,687,Bar-5,Baralof,Pacific cod,99
7,12,2026,7/12/2026,689,Bar-3,Baralof,Pacific sandfish,5
