Date,Station,Site,Bay,species,length,,,
7/4/2022,384,AG-3,Agripina,chum salmon,52,,,
7/4/2022,384,AG-3,Agripina,chum salmon,66,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,37,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,44,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,47,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,50,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,51,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,52,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,52,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,52,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,52,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,52,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,53,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,54,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,55,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,55,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,55,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,55,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,57,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,58,,,
7/4/2022,381,AG-1,Agripina,Pacific cod,61,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,34,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,39,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,42,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,43,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,43,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,44,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,47,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,48,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,48,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,48,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,49,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,49,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,50,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,53,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,54,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,55,,,
7/4/2022,382,AG-2,Agripina,Pacific cod,56,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,32,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,35,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,36,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,36,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,37,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,40,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,42,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,42,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,43,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,45,,,
7/4/2022,383,AG-4,Agripina,Pacific cod,45,,,
