Date,Station,Site,Bay,species,length
6/13/2025,615,Eelgrass South,Cook,black rockfish,129
6/13/2025,615,Eelgrass South,Cook,black rockfish,116
6/13/2025,615,Eelgrass South,Cook,black rockfish,125
6/13/2025,615,Eelgrass South,Cook,black rockfish,130
6/13/2025,615,Eelgrass South,Cook,black rockfish,123
6/13/2025,615,Eelgrass South,Cook,black rockfish,116
6/13/2025,615,Eelgrass South,Cook,black rockfish,117
6/13/2025,615,Eelgrass South,Cook,black rockfish,120
6/13/2025,615,Eelgrass South,Cook,black rockfish,121
6/13/2025,616,Eelgrass West,Cook,black rockfish,110
6/13/2025,616,Eelgrass West,Cook,black rockfish,126
6/13/2025,616,Eelgrass West,Cook,black rockfish,128
6/13/2025,616,Eelgrass West,Cook,black rockfish,122
6/13/2025,616,Eelgrass West,Cook,black rockfish,136
6/13/2025,616,Eelgrass West,Cook,black rockfish,125
6/13/2025,616,Eelgrass West,Cook,black rockfish,130
6/13/2025,616,Eelgrass West,Cook,black rockfish,130
6/13/2025,616,Eelgrass West,Cook,black rockfish,125
6/13/2025,616,Eelgrass West,Cook,black rockfish,129
6/13/2025,617,Laminaria East,Cook,black rockfish,126
6/13/2025,617,Laminaria East,Cook,black rockfish,122
6/13/2025,617,Laminaria East,Cook,black rockfish,122
6/13/2025,617,Laminaria East,Cook,black rockfish,124
6/13/2025,617,Laminaria East,Cook,black rockfish,119
6/28/2025,618,Kilu-1,Kiliuda,black rockfish,130
6/30/2025,625,Kai-6,Kaiugnak,black rockfish,138
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,136
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,138
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,123
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,129
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,125
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,128
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,133
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,119
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,129
6/30/2025,626,Kai-7,Kaiugnak,black rockfish,125
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,125
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,128
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,124
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,127
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,118
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,120
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,126
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,121
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,135
