Date,Station,Site,Bay,species,length,,
7/11/2026,686,Fal-2,Falmouth,Alaska plaice,110,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,160,,
6/16/2026,657,Eelgrass South,Cook,black rockfish,172,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,180,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,184,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,185,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,186,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,192,,
7/4/2026,672,Jap-7,Japanese ,black rockfish,193,,
7/21/2026,707,PW-3,Port Wrangell,black rockfish,194,,
6/16/2026,657,Eelgrass South,Cook,black rockfish,195,,
7/21/2026,707,PW-3,Port Wrangell,black rockfish,211,,
6/16/2026,656,Laminaria South,Cook,capelin,53,,
6/16/2026,656,Laminaria South,Cook,capelin,58,,
7/11/2026,684,Fal-4,Falmouth,capelin,72,,
7/11/2026,684,Fal-4,Falmouth,capelin,73,,
7/11/2026,684,Fal-4,Falmouth,capelin,75,,
7/14/2026,694,Sand-3,Sand Point,chinook salmon,91,,
7/2/2026,669,Kai-4,Kaiugnak,chinook salmon,94,,
7/21/2026,709,PW-4,Port Wrangell,chinook salmon,102,,
7/21/2026,709,PW-4,Port Wrangell,chinook salmon,108,,
7/12/2026,689,Bar-3,Baralof,chinook salmon,109,,
7/12/2026,689,Bar-3,Baralof,chinook salmon,113,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,116,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,120,,
7/4/2026,674,Jap-3,Japanese ,chinook salmon,120,,
7/4/2026,677,Jap-5,Japanese ,chinook salmon,123,,
7/12/2026,689,Bar-3,Baralof,chinook salmon,125,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,125,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,125,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,125,,
7/2/2026,669,Kai-4,Kaiugnak,chinook salmon,126,,
7/9/2026,679,BB-2,Balboa,chinook salmon,127,,
7/12/2026,689,Bar-3,Baralof,chinook salmon,128,,
7/12/2026,689,Bar-3,Baralof,chinook salmon,128,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,130,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,139,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,140,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,140,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,143,,
7/21/2026,706,PW-2,Port Wrangell,chinook salmon,144,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,145,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,150,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,150,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,150,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,155,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,155,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,162,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,168,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,175,,
7/12/2026,688,Bar-4,Baralof,chinook salmon,175,,
7/4/2026,677,Jap-5,Japanese ,chum salmon,46,,
7/9/2026,679,BB-2,Balboa,chum salmon,54,,
7/2/2026,669,Kai-4,Kaiugnak,chum salmon,56,,
7/12/2026,691,Bar-1,Baralof,chum salmon,57,,
7/12/2026,690,Bar-2,Baralof,chum salmon,57,,
7/12/2026,689,Bar-3,Baralof,chum salmon,58,,
7/9/2026,679,BB-2,Balboa,chum salmon,58,,
7/16/2026,696,Fox-4,Fox,chum salmon,58,,
7/4/2026,677,Jap-5,Japanese ,chum salmon,58,,
7/21/2026,706,PW-2,Port Wrangell,chum salmon,58,,
7/12/2026,690,Bar-2,Baralof,chum salmon,59,,
7/4/2026,677,Jap-5,Japanese ,chum salmon,60,,
7/4/2026,677,Jap-5,Japanese ,chum salmon,60,,
7/2/2026,670,Kai-1,Kaiugnak,chum salmon,61,,
7/9/2026,680,BB-4,Balboa,chum salmon,62,,
7/9/2026,681,BB-7,Balboa,chum salmon,62,,
7/21/2026,706,PW-2,Port Wrangell,chum salmon,62,,
7/12/2026,691,Bar-1,Baralof,chum salmon,63,,
7/9/2026,679,BB-2,Balboa,chum salmon,63,,
7/12/2026,691,Bar-1,Baralof,chum salmon,64,,
7/12/2026,691,Bar-1,Baralof,chum salmon,64,,
7/12/2026,691,Bar-1,Baralof,chum salmon,64,,
7/12/2026,691,Bar-1,Baralof,chum salmon,64,,
7/12/2026,689,Bar-3,Baralof,chum salmon,64,,
7/9/2026,681,BB-7,Balboa,chum salmon,64,,
7/4/2026,677,Jap-5,Japanese ,chum salmon,64,,
7/21/2026,706,PW-2,Port Wrangell,chum salmon,64,,
7/12/2026,690,Bar-2,Baralof,chum salmon,65,,
7/12/2026,689,Bar-3,Baralof,chum salmon,65,,
7/12/2026,689,Bar-3,Baralof,chum salmon,65,,
7/12/2026,689,Bar-3,Baralof,chum salmon,65,,
7/9/2026,679,BB-2,Balboa,chum salmon,65,,
7/9/2026,680,BB-4,Balboa,chum salmon,65,,
7/9/2026,680,BB-4,Balboa,chum salmon,65,,
7/9/2026,680,BB-4,Balboa,chum salmon,65,,
7/9/2026,680,BB-4,Balboa,chum salmon,65,,
7/9/2026,680,BB-4,Balboa,chum salmon,65,,
7/9/2026,681,BB-7,Balboa,chum salmon,65,,
7/16/2026,700,Fox-2,Fox,chum salmon,65,,
7/21/2026,708,PW-1,Port Wrangell,chum salmon,65,,
7/21/2026,708,PW-1,Port Wrangell,chum salmon,65,,
7/21/2026,707,PW-3,Port Wrangell,chum salmon,65,,
7/21/2026,707,PW-3,Port Wrangell,chum salmon,65,,
7/12/2026,691,Bar-1,Baralof,chum salmon,66,,
7/12/2026,689,Bar-3,Baralof,chum salmon,66,,
7/12/2026,689,Bar-3,Baralof,chum salmon,66,,
7/12/2026,689,Bar-3,Baralof,chum salmon,66,,
7/9/2026,681,BB-7,Balboa,chum salmon,66,,
7/9/2026,681,BB-7,Balboa,chum salmon,66,,
7/21/2026,707,PW-3,Port Wrangell,chum salmon,66,,
7/21/2026,707,PW-3,Port Wrangell,chum salmon,66,,
7/12/2026,691,Bar-1,Baralof,chum salmon,67,,
7/12/2026,689,Bar-3,Baralof,chum salmon,67,,
7/12/2026,689,Bar-3,Baralof,chum salmon,67,,
7/9/2026,678,BB-3,Balboa,chum salmon,67,,
7/9/2026,681,BB-7,Balboa,chum salmon,67,,
7/9/2026,681,BB-7,Balboa,chum salmon,67,,
7/21/2026,706,PW-2,Port Wrangell,chum salmon,67,,
7/22/2026,710,AG-1,Agripina,chum salmon,68,,
7/12/2026,691,Bar-1,Baralof,chum salmon,68,,
7/12/2026,691,Bar-1,Baralof,chum salmon,68,,
7/12/2026,689,Bar-3,Baralof,chum salmon,68,,
7/12/2026,689,Bar-3,Baralof,chum salmon,68,,
7/12/2026,689,Bar-3,Baralof,chum salmon,68,,
7/12/2026,689,Bar-3,Baralof,chum salmon,68,,
7/9/2026,679,BB-2,Balboa,chum salmon,68,,
7/9/2026,679,BB-2,Balboa,chum salmon,68,,
7/9/2026,679,BB-2,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
7/9/2026,680,BB-4,Balboa,chum salmon,68,,
