Date,Station,Site,Bay,Species,Length
7/5/2021,278,AG-1,Agripina,Pacific cod,33
7/5/2021,278,AG-1,Agripina,Pacific cod,43
7/5/2021,278,AG-1,Agripina,Pacific cod,42
7/5/2021,278,AG-1,Agripina,Pacific cod,46
7/5/2021,278,AG-1,Agripina,Pacific cod,50
7/5/2021,278,AG-1,Agripina,Pacific cod,47
7/5/2021,278,AG-1,Agripina,Pacific cod,43
7/5/2021,278,AG-1,Agripina,Pacific cod,45
7/5/2021,278,AG-1,Agripina,Pacific cod,45
7/5/2021,278,AG-1,Agripina,Pacific cod,39
7/5/2021,278,AG-1,Agripina,Pacific cod,44
7/5/2021,278,AG-1,Agripina,Pacific cod,40
7/5/2021,278,AG-1,Agripina,Pacific cod,40
7/5/2021,278,AG-1,Agripina,Pacific cod,49
7/5/2021,278,AG-1,Agripina,Pacific cod,37
7/5/2021,278,AG-1,Agripina,Pacific cod,38
7/5/2021,278,AG-1,Agripina,Pacific cod,42
7/5/2021,278,AG-1,Agripina,Pacific cod,52
7/5/2021,278,AG-1,Agripina,Pacific cod,53
7/5/2021,278,AG-1,Agripina,Pacific cod,39
7/5/2021,278,AG-1,Agripina,Pacific cod,53
7/5/2021,278,AG-1,Agripina,Pacific cod,31
7/5/2021,278,AG-1,Agripina,Pacific cod,37
7/5/2021,278,AG-1,Agripina,Pacific cod,43
7/5/2021,278,AG-1,Agripina,Pacific cod,44
7/5/2021,278,AG-1,Agripina,Pacific cod,42
7/5/2021,278,AG-1,Agripina,Pacific cod,38
7/5/2021,278,AG-1,Agripina,Pacific cod,44
7/5/2021,278,AG-1,Agripina,Pacific cod,38
7/5/2021,278,AG-1,Agripina,Pacific cod,37
7/5/2021,278,AG-1,Agripina,Pacific cod,47
7/5/2021,278,AG-1,Agripina,Pacific cod,42
7/5/2021,278,AG-1,Agripina,Pacific cod,47
7/5/2021,278,AG-1,Agripina,Pacific cod,46
7/5/2021,278,AG-1,Agripina,Pacific cod,45
7/5/2021,278,AG-1,Agripina,Pacific cod,39
7/5/2021,278,AG-1,Agripina,Pacific cod,41
7/5/2021,279,AG-2,Agripina,Pacific cod,49
