Date,Station,Site,Bay,subsample,Time,Temp.C,Salinity,lat.deg,lat.min,long.deg,long.min,lat,long,use.for.CPUE,notes,Cobble,Gravel,Fucus,Laminaria,Eelgrass,LT.time
6/29/2023,470,Eelgrass South,Cook,no,6:10,8.1,31.1,57.0,46.1358,152.0,16.5115,57.7689,152.2752,yes,.,y,y,y,y,y,5:36
6/29/2023,471,Laminaria South,Cook,no,6:55,8.1,31.4,57.0,46.1788,152.0,16.6274,57.7696,152.2771,yes,.,y,y,y,y,n,5:36
6/29/2023,472,Eelgrass West,Cook,no,7:29,9.2,31.4,57.0,46.7742,152.0,15.8278,57.7796,152.2638,yes,.,n,n,n,y,y,5:36
7/1/2023,473,Kilu-2,Kiliuda,no,6:25,10.9,22.4,57.0,19.3950,152.0,53.9809,57.3233,152.8997,yes,.,n,n,n,n,y,7:13
7/1/2023,474,Kilu-3,Kiliuda,no,6:49,10.8,21.5,57.0,19.5081,152.0,54.3396,57.3251,152.9057,yes,mysids!,n,y,y,n,y,7:13
7/1/2023,475,Kilu-4,Kiliuda,no,7:20,10.4,26.6,57.0,19.6560,152.0,53.8820,57.3276,152.8980,yes,.,n,y,n,y,y,7:13
7/1/2023,476,Kilu-6,Kiliuda,no,8:02,9.7,28.2,57.0,19.3364,152.0,54.7772,57.3223,152.9130,yes,.,n,y,n,y,y,7:13
7/1/2023,477,Kilu-5,Kiliuda,no,8:38,9.7,28.9,57.0,19.3474,152.0,54.6267,57.3225,152.9104,yes,.,n,y,n,n,y,7:13
7/1/2023,478,Kilu-1,Kiliuda,no,9:26,.,.,57.0,19.2834,152.0,54.1026,57.3214,152.9017,no,mussels,y,y,y,n,y,7:13
7/3/2023,479,Kai-3,Kaiugnak,no,6:58,10.5,21.7,57.0,3.2156,153.0,39.1767,57.0536,153.6529,yes,.,y,n,y,y,y,8:40
7/3/2023,480,Kai-6,Kaiugnak,no,7:35,10.5,22.3,57.0,3.3493,153.0,39.0292,57.0558,153.6505,yes,.,n,y,y,y,n,8:40
7/3/2023,481,Kai-7,Kaiugnak,no,8:40,9.7,23.0,57.0,3.4313,153.0,38.0876,57.0572,153.6348,yes,.,n,y,n,n,y,8:40
7/3/2023,482,Kai-4,Kaiugnak,no,9:09,9.9,19.1,57.0,4.2475,153.0,40.4795,57.0708,153.6747,yes,.,y,n,n,n,y,8:40
7/3/2023,483,Kai-1,Kaiugnak,no,9:52,10.3,17.7,57.0,3.6427,153.0,47.3367,57.0607,153.7889,yes,.,y,y,n,y,y,8:40
7/3/2023,484,Kai-2,Kaiugnak,no,10:29,10.2,16.3,57.0,3.4354,153.0,42.1976,57.0573,153.7033,yes,.,y,y,n,y,y,8:40
7/5/2023,485,RR-3,Rodman Reach,no,9:52,9.2,30.9,56.0,52.7174,154.0,14.7840,56.8786,154.2464,yes,.,n,y,n,y,y,10:41
7/5/2023,486,RR-4,Rodman Reach,no,10:47,9.7,30.2,56.0,52.6806,154.0,15.5528,56.8780,154.2592,yes,.,n,y,n,y,y,10:41
7/5/2023,487,RR-1,Rodman Reach,no,11:33,9.8,30.1,56.0,52.1324,154.0,15.2602,56.8689,154.2543,yes,.,y,n,n,y,y,10:41
7/7/2023,488,AG-1,Agripina,no,10:56,9.1,29.9,57.0,6.2557,156.0,28.5754,57.1043,156.4763,yes,.,n,n,y,y,n,12:33
7/7/2023,489,AG-2,Agripina,no,11:32,8.9,26.4,57.0,6.2753,156.0,28.2861,57.1046,156.4714,yes,.,y,y,n,y,n,12:33
7/7/2023,490,AG-5,Agripina,no,12:02,9.4,18.9,57.0,6.2925,156.0,27.5076,57.1049,156.4585,yes,.,y,y,y,y,n,12:33
7/7/2023,491,AG-3,Agripina,no,12:33,9.0,26.7,57.0,6.4253,156.0,27.3851,57.1071,156.4564,yes,.,y,y,n,y,n,12:33
7/7/2023,492,AG-4,Agripina,no,12:55,8.2,13.8,57.0,6.5532,156.0,27.6125,57.1092,156.4602,yes,.,y,y,y,y,n,12:33
7/7/2023,493,AG-6,Agripina,no,13:34,8.4,10.3,57.0,6.7987,156.0,28.7470,57.1133,156.4791,yes,.,y,y,n,y,n,12:33
7/9/2023,494,PW-1,Port Wrangell,no,13:09,7.9,17.4,57.0,2.9565,156.0,36.6987,57.0493,156.6116,yes,good photo of 3 sizes cod,y,n,y,y,n,13:53
7/9/2023,495,PW-3,Port Wrangell,no,13:43,8.0,16.4,57.0,2.7883,156.0,36.7934,57.0465,156.6132,yes,.,y,n,n,y,n,13:53
7/9/2023,496,PW-4,Port Wrangell,no,14:25,8.9,16.6,57.0,3.5231,156.0,37.3586,57.0587,156.6226,yes,.,y,y,y,n,n,13:53
7/9/2023,497,PW-2,Port Wrangell,no,15:12,7.6,15.6,57.0,2.8930,156.0,36.7063,57.0482,156.6118,yes,.,n,n,y,n,n,13:53
7/13/2023,498,Mit-1,Mitrofania,no,6:28,10.3,29.2,55.0,58.6830,158.0,42.9122,55.9781,158.7152,yes,.,y,n,y,y,n,6:42
7/13/2023,499,Mit-2,Mitrofania,no,6:55,11.5,29.1,55.0,58.8022,158.0,42.8031,55.9800,158.7134,yes,.,y,y,y,y,n,6:42
7/13/2023,500,Mit-3,Mitrofania,no,7:14,11.1,28.8,55.0,58.7267,158.0,42.6262,55.9788,158.7104,yes,.,n,y,y,y,y,6:42
7/13/2023,501,Mit-4,Mitrofania,no,7:54,10.6,29.0,55.0,58.9115,158.0,42.6878,55.9819,158.7115,yes,.,n,n,n,y,y,6:42
7/13/2023,502,Mit-6,Mitrofania,no,8:21,11.1,29.5,55.0,58.7266,158.0,42.2429,55.9788,158.7040,yes,.,n,y,n,y,y,6:42
7/13/2023,503,Mit-5,Mitrofania,no,8:46,11.1,28.3,55.0,58.8569,158.0,41.8815,55.9809,158.6980,yes,.,y,n,y,y,n,6:42
7/15/2023,504,Fox-3,Fox,no,7:36,12.3,30.2,55.0,36.5675,159.0,38.2637,55.6095,159.6377,yes,sea urchins,y,n,y,y,n,8:17
7/15/2023,505,Fox-2,Fox,no,8:09,12.1,30.3,55.0,36.7097,159.0,38.5154,55.6118,159.6419,yes,sea urchins,y,n,y,y,n,8:17
7/15/2023,506,Fox-1,Fox,no,8:48,11.8,30.3,55.0,36.4803,159.0,39.1843,55.6080,159.6531,yes,octopus,y,n,y,y,y,8:17
7/15/2023,507,Fox-5,Fox,no,9:44,11.6,30.0,55.0,36.5004,159.0,37.9754,55.6083,159.6329,yes,.,n,y,y,y,y,8:17
7/15/2023,508,Fox-4,Fox,no,10:12,11.7,29.7,55.0,36.4889,159.0,37.8490,55.6081,159.6308,yes,.,n,y,y,y,y,8:17
7/17/2023,509,Bar-5,Baralof,no,7:42,9.2,30.3,55.0,13.1824,160.0,32.9021,55.2197,160.5484,yes,.,y,y,n,y,y,9:32
7/17/2023,510,Bar-4,Baralof,no,8:32,9.2,29.6,55.0,13.7552,160.0,33.1088,55.2293,160.5518,yes,.,n,y,n,y,y,9:32
7/17/2023,511,Bar-3,Baralof,no,9:25,9.2,29.1,55.0,13.7666,160.0,33.7549,55.2294,160.5626,yes,.,y,n,y,y,y,9:32
7/17/2023,512,Bar-2,Baralof,no,10:04,9.4,28.1,55.0,13.7616,160.0,33.8834,55.2294,160.5647,yes,.,y,y,y,y,y,9:32
7/17/2023,513,Bar-1,Baralof,no,10:44,9.4,29.8,55.0,13.8505,160.0,34.0638,55.2308,160.5677,yes,.,n,y,n,y,y,9:32
7/17/2023,514,Bar-6,Baralof,no,11:27,9.6,28.9,55.0,13.6876,160.0,33.5977,55.2281,160.5600,yes,.,y,n,y,y,y,9:32
7/19/2023,515,Fal-1,Falmouth,no,9:28,11.6,30.9,55.0,4.0121,160.0,7.6032,55.0669,160.1267,yes,.,y,y,n,y,y,10:35
7/19/2023,516,Fal-5,Falmouth,no,9:57,11.4,31.1,55.0,4.1316,160.0,7.7816,55.0689,160.1297,yes,black sand,n,y,n,y,n,10:35
7/19/2023,517,Fal-3,Falmouth,no,10:33,13.4,27.2,55.0,4.1161,160.0,6.7652,55.0686,160.1128,yes,.,y,y,n,y,n,10:35
7/19/2023,518,Fal-4,Falmouth,no,11:01,13.4,27.7,55.0,4.1715,160.0,6.8386,55.0695,160.1140,yes,.,y,n,n,y,n,10:35
7/19/2023,519,Fal-2,Falmouth,no,12:14,12.3,30.6,55.0,3.8489,160.0,7.0183,55.0641,160.1170,yes,.,n,y,y,n,n,10:35
