Cohort,cod0_per_set,cod0_se,cod0_95percent_LCI,cod0_95percent_UCI,cod1_per_set,cod1_se,cod1_95percent_LCI,cod1_95percent_UCI
2006,131.44,37.57,75.71,236.45,0.37,0.23,0.09,2.83
2007,8.83,3.16,4.39,18.85,0.16,0.12,0.03,1.22
2008,32.61,10.81,17.1,65.06,0.04,0.04,0,0.59
2009,33.25,16.76,10.1,87.82,0.07,0.08,0,1.05
2010,13.55,6.58,4.68,34.85,0.02,0.02,0,0.31
2011,36.11,13.36,17.08,76.24,0,0.01,0,0.74
2012,221.21,71.99,116.04,444.55,1.12,0.68,0.28,8.64
2013,8.58,3.17,3.98,18.05,0.18,0.18,0.01,2.63
2014,9.44,4.7,3.2,24.93,0.19,0.22,0.01,3.54
2015,1.29,1.17,0.17,10.34,0,0,0,0.51
2016,2.14,0.99,0.86,5.93,0.02,0.02,0,0.25
2017,85.75,25.98,47.92,156.35,0.15,0.17,0,1.67
2018,110.03,23.38,71.22,168.18,0.06,0.07,0,1.56
2019,2.39,1.28,0.71,6.43,0,0,0,0.1
2020,204.59,53.51,121.89,346.67,2.59,1.55,0.56,14.58
2021,22.4,5.65,13.8,37.55,0.32,0.28,0.03,1.95
2022,126.59,32.39,76.44,214.25,1.55,0.84,0.46,11.34
