Cohort,cod0_per_set,cod0_se,cod0_95percent_LCI,cod0_95percent_UCI,cod1_per_set,cod1_se,cod1_95percent_LCI,cod1_95percent_UCI
2006,191.08,54.73,107.98,348.73,0.35,0.25,0.07,2.92
2007,17.98,7.05,8.05,39.85,0.15,0.12,0.02,1.28
2008,75.4,26.98,35.77,154.82,0.04,0.04,0,0.63
2009,39.88,25.38,9.55,130.87,0.06,0.07,0,1.08
2010,8.93,4.44,2.8,23.79,0.02,0.02,0,0.25
2011,48.45,22.08,17.25,120.18,0,0.01,0,0.67
2012,330.44,117.57,164.27,678.23,0.93,0.67,0.19,8.09
2013,11.8,5.13,4.45,28.04,0.13,0.13,0.01,1.82
2014,9.86,5.31,2.74,29.69,0.18,0.21,0.01,3.98
2015,1.55,1.42,0.19,14.27,0,0,0,0.34
2016,2.29,1.14,0.76,6.71,0.01,0.02,0,0.2
2017,113.32,35.73,61.3,223.04,0.15,0.19,0,2.33
2018,138.6,30.17,91.44,212.31,0.05,0.06,0,1.44
2019,4.64,2.68,1.12,13.59,0,0,0,0.13
2020,231.93,64.24,133.92,411.61,2.41,1.7,0.45,20.63
2021,34.67,8.67,21.17,58.28,0.33,0.3,0.02,2.82
2022,179.43,47.7,106.22,313.44,1.61,1.08,0.37,14.2
2023,50.52,12.4,30.84,84.44,2.92,2.13,0.51,23.82
