"year","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"2006",61.81,73.31,0.84,818.83
"2007",5.86,7.13,0.07,84.52
"2008",22.78,27.83,0.27,327.59
"2009",6.05,8.24,0.04,160.83
"2010",1.67,2.19,0.01,31.36
"2011",10.07,13.09,0.09,185.78
"2012",119.27,136.99,1.84,1565.49
"2013",2.51,3.23,0.02,42.37
"2014",1.68,2.23,0.01,35.4
"2015",0.22,0.3,0,9.75
"2016",0.55,0.7,0.01,9.85
"2017",37.83,43.32,0.61,505.87
"2018",25.86,29.76,0.39,341.05
"2019",1.21,1.66,0.01,35.89
"2020",107.48,130.75,1.33,1599.97
"2021",11.69,13.72,0.17,153.71
"2022",65.68,79.38,0.91,945.71
"2023",16.22,18.71,0.23,198.37
"2024",14.51,16.75,0.21,179.07
