"year","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"2006",0.06,0.05,0.01,0.49
"2007",0.35,0.25,0.07,2.92
"2008",0.15,0.12,0.02,1.28
"2009",0.04,0.04,0,0.63
"2010",0.06,0.07,0,1.08
"2011",0.02,0.02,0,0.25
"2012",0,0.01,0,0.67
"2013",0.93,0.67,0.19,8.09
"2014",0.13,0.13,0.01,1.82
"2015",0.18,0.21,0.01,3.98
"2016",0,0,0,0.34
"2017",0.01,0.02,0,0.2
"2018",0.15,0.19,0,2.33
"2019",0.05,0.06,0,1.44
"2020",0,0,0,0.13
"2021",2.41,1.7,0.45,20.63
"2022",0.33,0.3,0.02,2.82
"2023",1.61,1.08,0.37,14.2
"2024",2.92,2.13,0.51,23.82
