month,day,year,Station,Site,Bay,subsample,Time,,Temp.C,Salinity,lat.deg,lat.min,long.deg,long.min,lat,long,use.for.CPUE,notes,Cobble,Gravel,Fucus,Laminaria,Eelgrass,LT.time
7,5,2021,278,AG-1,Agripina ,no,5:37,,9.2,29,57,6.2428,156,28.5995,57.104,156.4767,yes,bear on beach,y,y,y,y,n,6:43
7,5,2021,279,AG-2,Agripina ,no,6:21,,9.4,28.4,57,6.2726,156,28.2811,57.1045,156.4714,yes,comb jellys,y,y,y,n,n,6:43
7,5,2021,280,AG-3,Agripina ,no,6:58,,9.1,28.7,57,6.4392,156,27.3723,57.1073,156.4562,yes,comb jellys,y,y,y,y,n,6:43
7,5,2021,281,AG-4,Agripina ,no,7:34,,9.1,24.7,57,6.5546,156,27.6141,57.1092,156.4602,yes,comb jellys,y,y,n,y,n,6:43
7,5,2021,282,AG-5,Agripina ,no,7:52,,9.2,27.2,57,6.2953,156,27.5095,57.1049,156.4585,yes,ulva,y,y,y,y,n,6:43
7,5,2021,283,AG-6,Agripina ,no,8:25,,8.9,11.4,57,6.7984,156,28.7641,57.1133,156.4794,yes,ulva,y,y,y,y,n,6:43
7,6,2021,284,PW-1,Pt Wrangell,no,6:24,,7.2,7.4,57,2.9541,156,36.6873,57.0492,156.6115,yes,,y,n,n,y,n,7:33
7,6,2021,285,PW-3,Pt Wrangell,no,6:49,,9.2,21.9,57,2.7958,156,36.7831,57.0466,156.6131,yes,,y,n,n,y,n,7:33
7,6,2021,286,PW-2,Pt Wrangell,no,7:11,,9.1,21.1,57,2.8745,156,36.7214,57.0479,156.612,yes,,y,y,n,y,n,7:33
7,6,2021,287,PW-4,Pt Wrangell,no,7:44,,9.1,21.8,57,3.5298,156,34.3522,57.0588,156.5725,yes,,y,y,y,y,n,7:33
7,9,2021,288,Mitro-4,Mitrofania,no,7:32,,9.6,28,56,58.9147,158,42.6945,56.9819,158.7116,yes,had to row. Very shallow,n,y,y,n,y,9:27
7,9,2021,289,Mitro-5,Mitrofania,no,8:14,,8.9,18.9,55,58.8618,158,41.8831,55.981,158.6981,yes,"be low tide so low, we oved slightly away to have enough water for the seine",n,y,y,n,y,9:27
7,9,2021,290,Mitro-6,Mitrofania,no,8:50,,9.2,29.5,55,58.7346,158,42.2502,55.9789,158.7042,yes,,n,y,y,y,y,9:27
7,9,2021,291,Mitro-3,Mitrofania,no,9:14,,9.6,28,55,58.7226,158,42.6517,55.9787,158.7109,yes,,y,y,y,y,y,9:27
7,9,2021,292,Mitro-2,Mitrofania,no,10:27,,9.6,28.3,55,58.8067,158,42.8025,55.9801,158.7134,yes,mesa died. Used last year coordinates,n,y,y,y,y,9:27
7,9,2021,293,Mitro-1,Mitrofania,no,10:48,,9.6,27.9,55,58.682,158,42.9076,55.978,158.7151,yes,mesa died. Used last year coordinates,y,y,n,y,y,9:27
7,11,2021,294,Fox-4,Fox,no,8:37,,11.8,28.2,55,36.5042,159,37.8208,55.6084,159.6303,yes,,n,y,n,y,n,10:28
7,11,2021,295,Fox-5,Fox,no,9:09,,11.9,27.7,55,36.4969,159,37.9633,55.6083,159.6327,yes,,n,y,y,y,n,10:28
7,11,2021,296,Fox-3,Fox,no,9:46,,12,28.3,55,36.5614,159,38.2322,55.6094,159.6372,yes,"Macrocystis pyrifera, very thin ""bed""; several single stalks",y,n,y,y,n,10:28
7,11,2021,297,Fox-2,Fox,no,10:28,,12.1,28.5,55,36.693,159,38.4948,55.6116,159.6416,yes,"Macrocystis pyrifera, very thin ""bed""; several single stalks",y,n,y,y,y,10:28
7,11,2021,298,Fox-1,Fox,no,11:22,,12.2,28.9,55,36.9908,159,39.1896,55.6165,159.6532,yes,"Macrocystis pyrifera, very thin ""bed""; several single stalks",y,n,y,n,y,10:28
7,13,2021,299,BB-2,Balboa,no,10:06,,9.5,31,55,34.6768,160,35.7567,55.5779,160.5959,yes,,n,y,n,y,y,11:44
7,13,2021,300,BB-3,Balboa,no,10:36,,9.6,31.2,55,34.6588,160,35.8921,55.5776,160.5982,yes,,n,y,n,y,n,11:44
7,13,2021,301,BB-4,Balboa,no,11:07,,10.2,30.8,55,34.6473,160,36.9069,55.5775,160.6151,yes,,y,y,y,y,y,11:44
7,13,2021,302x,BB-6,Balboa,no,11:52,,NA,NA,NA,NA,NA,NA,NA,NA,no,no good; tide too low. Site is earth,y,n,y,y,y,11:44
7,13,2021,302,BB-6,Balboa,no,12:13,,12,27.8,55,34.9939,160,36.7821,55.5832,160.613,yes,shallow. Had to walk net,y,y,y,y,y,11:44
7,13,2021,303,BB-7,Balboa,no,12:48,,10.3,31.2,55,35.0841,160,36.8645,55.5847,160.6144,yes,,y,y,y,n,y,11:44
7,15,2020,304,Bar-1,Baralof,no,11:24,,12.3,29.2,55,13.8791,160,34.1202,55.2313,160.5687,yes,,y,y,n,n,n,13:03
7,15,2020,305,Bar-2,Baralof,no,11:49,,12.4,29.8,55,13.7671,160,33.871,55.2295,160.5645,yes,,y,y,y,y,y,13:03
7,15,2020,306,Bar-3,Baralof,yes,12:20,,12.3,29.9,55,13.7527,160,33.7271,55.2292,160.5621,yes,,y,y,y,y,y,13:03
7,15,2020,307,Bar-4,Baralof,no,13:00,,11.9,28.1,55,13.7533,160,33.1058,55.2292,160.5518,yes,,y,y,y,n,y,13:03
7,15,2020,308,Bar-5,Baralof,no,13:44,,12.3,30.7,55,13.8207,160,32.9152,55.2303,160.5486,yes,,y,n,y,y,y,13:03
7,15,2020,309,Bar-6,Baralof,no,14:12,,14.2,25.1,55,13.6819,160,33.5817,55.228,160.5597,yes,,y,y,y,y,y,13:03
7,17,2021,310,Fal-2,Falmouth,no,12:41,,15.1,29.5,55,3.8188,160,7.0137,55.0636,160.1169,yes,sandy beach,n,y,n,n,n,14:26
7,17,2021,311,Fal-3,Falmouth,yes,13:08,,15.7,30.7,55,4.1087,160,6.7479,55.0685,160.1125,yes,,y,y,n,y,n,14:26
7,17,2021,312,Fal-4,Falmouth,yes,13:44,,15.7,29.7,55,4.1682,160,6.8245,55.0695,160.1137,yes,,y,y,n,y,n,14:26
7,17,2021,313,Fal-5,Falmouth,no,14:22,,13.8,31.2,55,4.1362,160,7.7831,55.0689,160.1297,yes,,y,y,n,y,n,14:26
7,17,2021,314,Fal-1,Falmouth,no,14:53,,14.4,31.1,55,4.008,160,7.6128,55.0668,160.1269,yes,,y,y,y,y,n,14:26
7,21,2021,315,Sand-2,Sand Point,no,8:30,,10.4,30.7,55,19.2878,160,31.4023,55.3215,160.5234,yes,,y,n,y,y,n,7:17
7,21,2021,316,Sand-3,Sand Point,no,9:04,,10.4,30.9,55,19.224,160,31.2146,55.3204,160.5202,yes,Caprellidae amphipod saved,y,y,y,n,y,7:17
7,24,2021,317,Sanak-1,Caton Harbor,no,8:45,,NA,NA,54,24.1857,162,28.4152,54.4031,162.4736,no,shallow. sand. Too much EG,n,n,n,y,y,9:43
7,24,2021,318,Sanak-2,Caton Harbor,no,9:21,,11.6,31.4,54,23.4672,162,27.847,54.3911,162.4641,yes,,n,n,n,y,y,9:43
7,24,2021,319,Sanak-3,Caton Harbor,no,9:50,,NA,NA,54,22.0255,162,27.4494,54.3671,162.4575,yes,dragon kelp.,y,y,y,y,y,9:43
7,24,2021,320,Sanak-4,NE Harbor,no,19:15,,12.2,31.3,54,26.5813,162,36.3484,54.443,162.6058,yes,3 huge rocks in net,y,y,n,n,n,21:22
7,24,2021,321,Sanak-5,NE Harbor,no,20:01,,12.8,31.1,54,26.495,162,36.3356,54.4416,162.6056,yes,pretty bare.,y,y,n,y,n,21:22
7,28,2021,322,Rod-1,Rodmans Reach,no,10:35,,10.2,31.5,56,52.9413,154,15.2631,56.8824,154.2544,yes,,y,y,y,n,y,11:51
7,28,2021,323,Rod-3,Rodmans Reach,no,11:21,,NA,NA,56,52.7034,154,14.7792,56.8784,154.2463,no,bad. Rolled bc EG.,n,y,y,y,y,11:51
7,28,2021,324,Rod-5,Rodmans Reach,no,11:39,,11.7,31,56,52.8025,154,14.7174,56.88,154.2453,yes,lots crabs and anenomes,n,y,y,y,n,11:51
7,28,2021,325,Rod-6,Rodmans Reach,no,12:02,,11,31.4,56,52.8124,154,14.7861,56.8802,154.2464,yes,,n,y,n,y,y,11:51
7,28,2021,326,Rod-4,Rodmans Reach,no,12:34,,12,31.2,56,52.6874,154,15.54,56.8781,154.259,yes,,y,y,n,y,n,11:51
7,28,2021,327,Rod-2,Rodmans Reach,no,13:13,,11.4,30.5,56,54.057,154,15.1374,56.901,154.2523,yes,,y,y,y,y,n,11:51
7,31,2021,328,Jap-1,Japanese Bay,no,11:11,,12.4,30.5,56,57.1809,153,41.1209,56.953,153.6853,yes,,y,y,y,n,y,13:40
7,31,2021,329,Jap-6,Japanese Bay,no,11:36,,12.4,29.4,56,57.1904,153,40.7352,56.9532,153.6789,yes,,y,y,y,y,n,13:40
7,31,2021,330,Jap-2,Japanese Bay,no,12:01,,12.4,29.7,56,56.8884,153,40.9268,56.9481,153.6821,yes,,n,y,y,y,n,13:40
7,31,2021,331,Jap-7,Japanese Bay,no,12:28,,12.3,29.7,56,56.7411,153,41.0386,56.9457,153.684,yes,,n,y,y,n,y,13:40
7,31,2021,332,Jap-3,Japanese Bay,no,13:17,,12,30.3,56,57.069,153,41.0969,56.9512,153.6849,yes,,n,y,y,n,n,13:40
7,31,2021,333,Jap-5,Japanese Bay,no,13:40,,13.2,27.7,56,58.0796,153,40.9243,56.968,153.6821,yes,,y,y,y,n,y,13:40
7,31,2021,334,Jap-4,Japanese Bay,no,14:24,,12.8,29.2,56,57.5494,153,41.3747,56.9592,153.6896,yes,,n,y,y,n,n,13:40
8,4,2021,335,Kai-1,Kaiugnak Bay,no,6:15,,13.8,30.6,57,3.6378,153,42.3338,57.0606,153.7056,yes,,y,y,n,y,n,6:18
8,4,2021,336,Kai-2,Kaiugnak Bay,no,6:45,,13.2,30.9,57,3.4279,153,42.2024,57.0571,153.7034,yes,,y,n,n,n,n,6:18
8,4,2021,337,Kai-3,Kaiugnak Bay,no,7:23,,13.4,30.6,57,3.2098,153,39.1966,57.0535,153.6533,yes,,n,y,n,n,y,6:18
8,4,2021,338,Kai-6,Kaiugnak Bay,no,8:04,,13.5,30.6,57,3.3584,153,39.0109,57.056,153.6502,yes,,y,y,y,y,y,6:18
8,4,2021,339,Kai-7,Kaiugnak Bay,no,8:39,,13,30.7,57,3.4374,153,38.1083,57.0573,153.6351,yes,,n,y,n,n,y,6:18
8,4,2021,340,Kai-4,Kaiugnak Bay,no,9:11,,12.9,31.4,57,4.2504,153,40.4901,57.0708,153.6748,yes,white sand and cobble,y,n,y,n,n,6:18
8,6,2021,341,Ugak-7,Ugak,no,6:27,,13.9,22.4,57,28.3413,152,59.4245,57.4724,152.9904,yes,,y,y,n,n,y,7:33
8,6,2021,342,Ugak-2,Ugak,no,7:01,,14.1,22.5,57,26.6196,153,58.0405,57.4437,153.9673,yes,,y,y,n,n,n,7:33
8,6,2021,343,Ugak-3,Ugak,no,7:32,,14.2,22.2,57,26.5824,152,58.5595,57.443,152.976,yes,,n,y,n,n,n,7:33
8,6,2021,344,Ugak-4,Ugak,no,8:24,,13.1,21.1,57,26.1019,152,59.9721,57.435,152.9995,yes,,y,y,y,n,n,7:33
